size	intensity	corr_response	led_cond	FATimes_raw	Response_mean	Response_raw	Response_std	order
0	0	False	square	0.0	0.0	0.0	0.0
20	2	True	square	0.0	0.0	0.0	1.0
20	8	True	none	0.0	0.0	0.0	2.0
20	8	True	noise	'--'				3.0
20	100	True	none	'--'				
20	64	True	noise	'--'				
20	16	True	square	'--'				
20	8	True	square	'--'				
20	64	True	none	'--'				
20	32	True	square	'--'				
20	2	True	square	'--'				
20	2	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	none	'--'				
0	0	False	square	'--'				
0	0	False	none	'--'				
20	100	True	square	'--'				
20	64	True	square	'--'				
20	100	True	none	'--'				
20	16	True	none	'--'				
20	32	True	none	'--'				
20	64	True	square	'--'				
0	0	False	noise	'--'				
20	8	True	square	'--'				
20	32	True	square	'--'				
20	16	True	square	'--'				
20	2	True	noise	'--'				
0	0	False	noise	'--'				
20	2	True	none	'--'				
20	8	True	none	'--'				
0	0	False	square	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
0	0	False	square	'--'				
20	2	True	none	'--'				
0	0	False	noise	'--'				
20	64	True	noise	'--'				
20	100	True	noise	'--'				
20	16	True	none	'--'				
20	16	True	noise	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	none	'--'				
20	64	True	none	'--'				
0	0	False	noise	'--'				
20	8	True	noise	'--'				
20	100	True	square	'--'				
20	16	True	noise	'--'				
20	64	True	none	'--'				
20	64	True	noise	'--'				
20	2	True	square	'--'				
20	100	True	none	'--'				
0	0	False	noise	'--'				
20	8	True	noise	'--'				
20	2	True	noise	'--'				
0	0	False	square	'--'				
20	16	True	none	'--'				
20	100	True	noise	'--'				
20	100	True	none	'--'				
20	32	True	square	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
20	32	True	none	'--'				
20	100	True	square	'--'				
20	8	True	square	'--'				
20	32	True	noise	'--'				
20	8	True	noise	'--'				
20	2	True	none	'--'				
20	32	True	none	'--'				
0	0	False	none	'--'				
20	32	True	noise	'--'				
20	16	True	noise	'--'				
20	2	True	noise	'--'				
20	2	True	none	'--'				
20	8	True	square	'--'				
0	0	False	square	'--'				
20	16	True	square	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
20	100	True	noise	'--'				
20	32	True	square	'--'				
20	16	True	square	'--'				
0	0	False	square	'--'				
20	64	True	none	'--'				
20	100	True	square	'--'				
20	8	True	none	'--'				
20	16	True	none	'--'				
20	64	True	noise	'--'				
20	64	True	square	'--'				
20	2	True	square	'--'				
0	0	False	noise	'--'				
0	0	False	none	'--'				
20	64	True	square	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
20	32	True	square	'--'				
20	2	True	noise	'--'				
20	16	True	square	'--'				
20	8	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	none	'--'				
20	2	True	square	'--'				
20	16	True	none	'--'				
20	16	True	square	'--'				
0	0	False	none	'--'				
20	16	True	none	'--'				
20	16	True	noise	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
20	2	True	square	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
20	64	True	noise	'--'				
0	0	False	square	'--'				
20	100	True	square	'--'				
0	0	False	noise	'--'				
20	2	True	noise	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	8	True	square	'--'				
20	64	True	noise	'--'				
0	0	False	none	'--'				
20	64	True	none	'--'				
20	32	True	square	'--'				
20	64	True	none	'--'				
20	64	True	square	'--'				
20	2	True	none	'--'				
20	100	True	none	'--'				
20	32	True	noise	'--'				
20	100	True	square	'--'				
20	2	True	none	'--'				
20	100	True	noise	'--'				
20	32	True	none	'--'				
20	32	True	noise	'--'				
20	64	True	square	'--'				
20	8	True	noise	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
20	32	True	none	'--'				
0	0	False	square	'--'				
20	32	True	none	'--'				
20	100	True	none	'--'				
20	8	True	none	'--'				
20	8	True	noise	'--'				
0	0	False	square	'--'				
20	2	True	noise	'--'				
20	64	True	square	'--'				
20	16	True	none	'--'				
0	0	False	square	'--'				
20	8	True	none	'--'				
20	100	True	square	'--'				
20	16	True	square	'--'				
0	0	False	noise	'--'				
20	100	True	square	'--'				
20	64	True	none	'--'				
20	64	True	noise	'--'				
20	2	True	noise	'--'				
20	16	True	noise	'--'				
20	32	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
0	0	False	noise	'--'				
0	0	False	none	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
20	2	True	none	'--'				
20	32	True	noise	'--'				
20	16	True	none	'--'				
20	8	True	square	'--'				
20	32	True	none	'--'				
20	2	True	square	'--'				
20	16	True	square	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
20	32	True	square	'--'				
20	100	True	none	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
20	2	True	square	'--'				
20	64	True	noise	'--'				
20	8	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	noise	'--'				
20	2	True	none	'--'				
20	32	True	square	'--'				
20	64	True	none	'--'				
20	64	True	noise	'--'				
20	32	True	noise	'--'				
20	100	True	noise	'--'				
20	8	True	none	'--'				
20	64	True	none	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
20	64	True	noise	'--'				
20	2	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	square	'--'				
20	8	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
20	100	True	square	'--'				
20	100	True	noise	'--'				
20	16	True	none	'--'				
20	8	True	square	'--'				
20	8	True	square	'--'				
20	64	True	square	'--'				
20	100	True	none	'--'				
0	0	False	noise	'--'				
0	0	False	none	'--'				
20	2	True	square	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
20	32	True	square	'--'				
0	0	False	square	'--'				
20	32	True	none	'--'				
0	0	False	square	'--'				
20	8	True	none	'--'				
20	16	True	noise	'--'				
20	16	True	square	'--'				
20	64	True	none	'--'				
20	100	True	square	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
20	16	True	noise	'--'				
20	2	True	square	'--'				
0	0	False	square	'--'				
20	8	True	noise	'--'				
20	2	True	noise	'--'				
20	16	True	square	'--'				
20	2	True	none	'--'				
20	32	True	none	'--'				
20	16	True	none	'--'				
20	32	True	square	'--'				
0	0	False	noise	'--'				
20	2	True	square	'--'				
20	100	True	square	'--'				
20	8	True	noise	'--'				
20	8	True	square	'--'				
20	2	True	none	'--'				
20	64	True	square	'--'				
20	8	True	noise	'--'				
20	32	True	none	'--'				
0	0	False	square	'--'				
20	8	True	none	'--'				
20	8	True	square	'--'				
20	2	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	square	'--'				
20	32	True	square	'--'				
0	0	False	noise	'--'				
20	16	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	none	'--'				
20	32	True	square	'--'				
0	0	False	none	'--'				
20	16	True	none	'--'				
20	2	True	square	'--'				
0	0	False	square	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
20	64	True	none	'--'				
20	16	True	square	'--'				
20	16	True	none	'--'				
20	16	True	noise	'--'				
20	16	True	square	'--'				
20	64	True	noise	'--'				
20	64	True	square	'--'				
20	32	True	none	'--'				
0	0	False	noise	'--'				
20	64	True	none	'--'				
20	100	True	none	'--'				
0	0	False	square	'--'				
20	64	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
0	0	False	noise	'--'				
20	2	True	noise	'--'				
20	32	True	noise	'--'				
20	8	True	none	'--'				
20	100	True	square	'--'				
0	0	False	noise	'--'				
20	32	True	none	'--'				
20	100	True	square	'--'				
20	2	True	noise	'--'				
20	8	True	noise	'--'				
20	64	True	none	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
0	0	False	none	'--'				
20	2	True	none	'--'				
20	2	True	square	'--'				
0	0	False	square	'--'				
20	16	True	none	'--'				
0	0	False	square	'--'				
20	100	True	noise	'--'				
20	2	True	square	'--'				
20	8	True	none	'--'				
20	16	True	noise	'--'				
20	100	True	none	'--'				
20	16	True	square	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
0	0	False	noise	'--'				
20	100	True	noise	'--'				
20	8	True	square	'--'				
0	0	False	none	'--'				
20	32	True	none	'--'				
20	16	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
0	0	False	square	'--'				
20	100	True	square	'--'				
20	8	True	noise	'--'				
20	16	True	square	'--'				
20	32	True	noise	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
20	32	True	square	'--'				
20	64	True	noise	'--'				
20	64	True	none	'--'				
20	16	True	none	'--'				
20	8	True	none	'--'				
20	64	True	noise	'--'				
20	32	True	square	'--'				
20	2	True	noise	'--'				
20	64	True	square	'--'				
20	32	True	noise	'--'				
20	32	True	none	'--'				
0	0	False	noise	'--'				
20	16	True	noise	'--'				
20	2	True	square	'--'				
20	32	True	none	'--'				
20	2	True	noise	'--'				
20	64	True	none	'--'				
20	100	True	square	'--'				
20	100	True	noise	'--'				
20	64	True	noise	'--'				
0	0	False	none	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
20	64	True	square	'--'				
0	0	False	square	'--'				
20	16	True	square	'--'				
20	8	True	square	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
20	32	True	noise	'--'				
20	100	True	none	'--'				
20	16	True	noise	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
0	0	False	square	'--'				
20	100	True	noise	'--'				
20	8	True	none	'--'				
20	100	True	none	'--'				
20	64	True	none	'--'				
20	16	True	square	'--'				
0	0	False	noise	'--'				
20	2	True	none	'--'				
20	16	True	none	'--'				
20	2	True	square	'--'				
20	32	True	noise	'--'				
20	8	True	noise	'--'				
20	64	True	square	'--'				
20	2	True	noise	'--'				
20	16	True	none	'--'				
0	0	False	none	'--'				
0	0	False	none	'--'				
20	32	True	square	'--'				
20	100	True	square	'--'				
0	0	False	square	'--'				
20	32	True	square	'--'				
20	2	True	none	'--'				
20	8	True	noise	'--'				
20	64	True	noise	'--'				
20	64	True	square	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
20	32	True	noise	'--'				
20	100	True	square	'--'				
20	32	True	noise	'--'				
20	100	True	none	'--'				
20	32	True	none	'--'				
20	8	True	square	'--'				
20	2	True	none	'--'				
20	16	True	square	'--'				
20	32	True	none	'--'				
0	0	False	square	'--'				
20	100	True	none	'--'				
20	16	True	none	'--'				
20	2	True	square	'--'				
20	100	True	noise	'--'				
0	0	False	none	'--'				
20	8	True	none	'--'				
20	100	True	noise	'--'				
0	0	False	none	'--'				
20	16	True	noise	'--'				
20	16	True	square	'--'				
20	64	True	none	'--'				
0	0	False	square	'--'				
20	16	True	none	'--'				
20	2	True	noise	'--'				
20	16	True	noise	'--'				
20	8	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	square	'--'				
20	2	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	square	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	64	True	noise	'--'				
20	8	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	64	True	noise	'--'				
20	64	True	none	'--'				
20	32	True	square	'--'				
20	2	True	square	'--'				
20	8	True	square	'--'				
20	100	True	none	'--'				
20	2	True	none	'--'				
20	100	True	noise	'--'				
20	64	True	square	'--'				
20	32	True	square	'--'				
20	100	True	square	'--'				
20	16	True	noise	'--'				
20	16	True	noise	'--'				
0	0	False	none	'--'				
20	2	True	none	'--'				
20	100	True	none	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	8	True	none	'--'				
20	16	True	square	'--'				
20	2	True	square	'--'				
20	100	True	square	'--'				
20	8	True	square	'--'				
20	8	True	noise	'--'				
20	64	True	noise	'--'				
20	16	True	none	'--'				
0	0	False	noise	'--'				
20	2	True	noise	'--'				
20	8	True	noise	'--'				
0	0	False	noise	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
20	32	True	square	'--'				
0	0	False	none	'--'				
0	0	False	square	'--'				
0	0	False	square	'--'				
20	64	True	square	'--'				
20	32	True	noise	'--'				
20	8	True	square	'--'				
20	64	True	none	'--'				
20	64	True	none	'--'				
20	32	True	none	'--'				
20	2	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	none	'--'				
20	16	True	none	'--'				
20	2	True	square	'--'				
20	16	True	square	'--'				
20	100	True	noise	'--'				
20	32	True	noise	'--'				
20	64	True	noise	'--'				
0	0	False	none	'--'				
20	8	True	none	'--'				
20	100	True	noise	'--'				
20	64	True	noise	'--'				
20	100	True	noise	'--'				
20	16	True	none	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
20	8	True	noise	'--'				
0	0	False	square	'--'				
20	2	True	square	'--'				
20	64	True	noise	'--'				
20	16	True	none	'--'				
20	64	True	square	'--'				
0	0	False	none	'--'				
0	0	False	none	'--'				
20	32	True	square	'--'				
20	64	True	none	'--'				
0	0	False	none	'--'				
20	8	True	noise	'--'				
20	2	True	noise	'--'				
20	32	True	noise	'--'				
0	0	False	square	'--'				
20	8	True	none	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
20	16	True	square	'--'				
0	0	False	noise	'--'				
20	100	True	square	'--'				
20	100	True	none	'--'				
20	64	True	square	'--'				
20	2	True	none	'--'				
0	0	False	noise	'--'				
20	100	True	none	'--'				
0	0	False	noise	'--'				
20	2	True	square	'--'				
20	16	True	square	'--'				
20	8	True	none	'--'				
20	8	True	square	'--'				
20	2	True	noise	'--'				
20	8	True	square	'--'				
20	16	True	noise	'--'				
20	32	True	none	'--'				
20	32	True	square	'--'				
20	2	True	none	'--'				
20	32	True	noise	'--'				
20	64	True	none	'--'				
20	32	True	none	'--'				
0	0	False	none	'--'				
20	100	True	square	'--'				
0	0	False	square	'--'				
20	64	True	square	'--'				
20	8	True	square	'--'				
20	32	True	none	'--'				
20	64	True	noise	'--'				
20	100	True	square	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
0	0	False	noise	'--'				
0	0	False	none	'--'				
20	2	True	square	'--'				
20	32	True	none	'--'				
20	32	True	square	'--'				
20	100	True	none	'--'				
0	0	False	noise	'--'				
20	32	True	square	'--'				
20	8	True	noise	'--'				
20	2	True	square	'--'				
20	16	True	square	'--'				
20	16	True	noise	'--'				
20	2	True	noise	'--'				
20	16	True	none	'--'				
0	0	False	none	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
20	64	True	none	'--'				
20	100	True	noise	'--'				
20	100	True	none	'--'				
20	32	True	noise	'--'				
20	64	True	none	'--'				
0	0	False	none	'--'				
20	8	True	none	'--'				
20	8	True	none	'--'				
20	8	True	noise	'--'				
20	2	True	noise	'--'				
20	64	True	square	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
20	2	True	none	'--'				
20	100	True	square	'--'				
20	2	True	none	'--'				
20	64	True	noise	'--'				
20	100	True	noise	'--'				
0	0	False	square	'--'				
20	32	True	noise	'--'				
0	0	False	noise	'--'				
20	16	True	square	'--'				
20	16	True	none	'--'				
20	100	True	noise	'--'				
20	16	True	noise	'--'				
20	16	True	none	'--'				
20	2	True	square	'--'				
20	16	True	none	'--'				
20	64	True	none	'--'				
20	64	True	square	'--'				
20	16	True	noise	'--'				
20	8	True	noise	'--'				
20	2	True	noise	'--'				
20	8	True	none	'--'				
20	2	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	square	'--'				
20	100	True	square	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
0	0	False	noise	'--'				
0	0	False	noise	'--'				
20	64	True	none	'--'				
0	0	False	square	'--'				
0	0	False	none	'--'				
20	8	True	square	'--'				
20	100	True	none	'--'				
20	2	True	none	'--'				
20	16	True	square	'--'				
20	64	True	noise	'--'				
20	16	True	square	'--'				
20	2	True	none	'--'				
20	100	True	none	'--'				
20	32	True	none	'--'				
20	8	True	square	'--'				
20	32	True	square	'--'				
20	8	True	none	'--'				
20	100	True	noise	'--'				
20	8	True	noise	'--'				
20	64	True	noise	'--'				
20	100	True	square	'--'				
20	32	True	none	'--'				
0	0	False	square	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
20	64	True	square	'--'				
20	2	True	square	'--'				
0	0	False	none	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	noise	'--'				
0	0	False	square	'--'				
20	16	True	square	'--'				
20	16	True	noise	'--'				
20	8	True	none	'--'				
20	64	True	square	'--'				
20	100	True	square	'--'				
20	100	True	noise	'--'				
20	32	True	none	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
20	100	True	square	'--'				
20	2	True	noise	'--'				
20	32	True	square	'--'				
20	16	True	square	'--'				
20	8	True	noise	'--'				
20	8	True	none	'--'				
20	64	True	noise	'--'				
0	0	False	square	'--'				
20	100	True	noise	'--'				
20	64	True	square	'--'				
20	32	True	square	'--'				
20	32	True	noise	'--'				
20	64	True	none	'--'				
20	2	True	square	'--'				
20	64	True	noise	'--'				
0	0	False	noise	'--'				
20	16	True	none	'--'				
0	0	False	square	'--'				
20	16	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
20	2	True	noise	'--'				
20	2	True	none	'--'				
20	8	True	square	'--'				
20	2	True	square	'--'				
20	64	True	none	'--'				
0	0	False	none	'--'				
20	16	True	none	'--'				
20	100	True	none	'--'				
20	8	True	square	'--'				
0	0	False	noise	'--'				
20	8	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	noise	'--'				
0	0	False	square	'--'				
20	32	True	none	'--'				
0	0	False	none	'--'				
20	2	True	square	'--'				
20	64	True	none	'--'				
20	16	True	none	'--'				
0	0	False	none	'--'				
20	64	True	none	'--'				
20	16	True	square	'--'				
0	0	False	square	'--'				
20	32	True	none	'--'				
20	32	True	square	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
20	2	True	none	'--'				
20	64	True	noise	'--'				
0	0	False	square	'--'				
20	16	True	noise	'--'				
20	100	True	noise	'--'				
20	100	True	none	'--'				
20	16	True	square	'--'				
20	16	True	noise	'--'				
20	32	True	square	'--'				
0	0	False	none	'--'				
20	100	True	noise	'--'				
0	0	False	noise	'--'				
20	2	True	noise	'--'				
20	2	True	square	'--'				
20	8	True	square	'--'				
20	100	True	square	'--'				
0	0	False	none	'--'				
0	0	False	noise	'--'				
0	0	False	noise	'--'				
20	8	True	square	'--'				
20	32	True	noise	'--'				
0	0	False	square	'--'				
20	100	True	square	'--'				
20	8	True	noise	'--'				
20	2	True	none	'--'				
0	0	False	square	'--'				
20	64	True	noise	'--'				
20	100	True	none	'--'				
20	8	True	none	'--'				
20	2	True	noise	'--'				
20	32	True	noise	'--'				
20	64	True	square	'--'				
20	32	True	none	'--'				
20	16	True	none	'--'				
20	8	True	noise	'--'				
20	8	True	none	'--'				
20	32	True	noise	'--'				
20	2	True	noise	'--'				
20	32	True	none	'--'				
20	100	True	none	'--'				
0	0	False	square	'--'				
20	64	True	noise	'--'				
20	16	True	none	'--'				
0	0	False	square	'--'				
20	100	True	square	'--'				
20	32	True	square	'--'				
0	0	False	noise	'--'				
20	16	True	noise	'--'				
20	8	True	none	'--'				
0	0	False	noise	'--'				
20	8	True	square	'--'				
20	8	True	square	'--'				
20	64	True	none	'--'				
20	2	True	none	'--'				
20	2	True	square	'--'				
20	8	True	noise	'--'				
20	16	True	noise	'--'				
20	32	True	square	'--'				
20	100	True	noise	'--'				
0	0	False	noise	'--'				
20	64	True	square	'--'				
20	32	True	none	'--'				
20	8	True	noise	'--'				
0	0	False	none	'--'				
20	100	True	noise	'--'				
20	64	True	none	'--'				
20	64	True	square	'--'				
20	16	True	square	'--'				
0	0	False	noise	'--'				
20	100	True	square	'--'				
20	64	True	noise	'--'				
20	2	True	none	'--'				
20	16	True	none	'--'				
20	32	True	noise	'--'				
0	0	False	none	'--'				
20	16	True	square	'--'				
0	0	False	square	'--'				
0	0	False	none	'--'				
20	2	True	noise	'--'				
0	0	False	square	'--'				
20	8	True	none	'--'				
20	2	True	square	'--'				
0	0	False	none	'--'				
20	100	True	none	'--'				
20	100	True	noise	'--'				
20	8	True	none	'--'				
0	0	False	noise	'--'				
20	100	True	none	'--'				
20	2	True	none	'--'				
20	2	True	none	'--'				
20	100	True	none	'--'				
20	100	True	square	'--'				
20	16	True	none	'--'				
20	100	True	square	'--'				
20	16	True	noise	'--'				
20	32	True	none	'--'				
20	64	True	square	'--'				
20	64	True	none	'--'				
20	16	True	square	'--'				
20	16	True	square	'--'				
20	8	True	none	'--'				
20	32	True	square	'--'				
20	8	True	noise	'--'				
0	0	False	none	'--'				
20	32	True	none	'--'				
0	0	False	noise	'--'				
20	16	True	noise	'--'				
0	0	False	square	'--'				
20	2	True	noise	'--'				
0	0	False	square	'--'				
20	8	True	noise	'--'				
20	16	True	none	'--'				
